sep=;
Date;High price;Low price;Closing price;Average price;Total volume;Turnover
2022-08-12;"2,041.09";"2,027.61";"2,032.51";;1;
2022-08-11;"2,037.55";"2,016.60";"2,024.48";;1;
2022-08-10;"2,025.48";"1,975.19";"2,025.48";;1;
2022-08-09;"2,017.31";"1,981.72";"1,987.68";;1;
2022-08-08;"2,026.87";"2,003.86";"2,017.15";;1;
2022-08-05;"2,029.80";"1,998.49";"1,998.57";;1;
2022-08-04;"2,026.91";"2,009.96";"2,020.83";;1;
2022-08-03;"2,010.62";"1,987.56";"2,005.58";;1;
2022-08-02;"2,004.14";"1,987.58";"1,993.92";;1;
2022-08-01;"2,039.96";"2,000.37";"2,011.11";;1;
2022-07-29;"2,035.43";"2,004.12";"2,032.53";;1;
2022-07-28;"1,996.02";"1,978.45";"1,996.02";;1;
2022-07-27;"1,981.71";"1,965.27";"1,971.38";;1;
2022-07-26;"1,983.44";"1,961.19";"1,962.96";;1;
2022-07-25;"1,981.72";"1,965.92";"1,970.89";;1;
2022-07-22;"1,990.18";"1,962.66";"1,979.70";;1;
2022-07-21;"1,981.92";"1,940.23";"1,975.97";;1;
2022-07-20;"1,978.87";"1,950.96";"1,961.31";;1;
2022-07-19;"1,961.38";"1,904.07";"1,961.12";;1;
2022-07-18;"1,938.32";"1,911.79";"1,930.50";;1;
2022-07-15;"1,906.62";"1,873.95";"1,903.82";;1;
2022-07-14;"1,927.92";"1,885.87";"1,903.51";;1;
2022-07-12;"1,968.81";"1,916.69";"1,968.81";;1;
2022-07-11;"1,952.77";"1,934.87";"1,937.49";;1;
2022-07-08;"1,971.06";"1,943.68";"1,971.04";;1;
2022-07-07;"1,955.12";"1,926.92";"1,954.58";;1;
2022-07-05;"1,911.82";"1,865.14";"1,866.16";;1;
2022-07-04;"1,901.30";"1,881.09";"1,893.56";;1;
2022-07-01;"1,897.18";"1,850.40";"1,875.94";;1;
2022-06-30;"1,887.01";"1,858.12";"1,872.68";;1;
2022-06-29;"1,918.50";"1,895.67";"1,908.31";;1;
2022-06-28;"1,940.62";"1,911.54";"1,913.14";;1;
2022-06-27;"1,930.78";"1,901.11";"1,924.84";;1;
2022-06-24;"1,865.54";"1,865.54";"1,865.54";;1;
2022-06-23;"1,892.04";"1,861.74";"1,865.54";;1;
2022-06-22;"1,898.75";"1,864.53";"1,895.84";;1;
2022-06-21;"1,924.36";"1,900.12";"1,903.38";;1;
2022-06-20;"1,900.29";"1,881.23";"1,895.24";;1;
2022-06-17;"1,911.84";"1,882.92";"1,884.27";;1;
2022-06-16;"1,945.69";"1,883.23";"1,890.33";;1;
2022-06-15;"1,957.67";"1,927.00";"1,946.86";;1;
2022-06-14;"1,973.12";"1,927.03";"1,931.39";;1;
2022-06-13;"1,977.63";"1,948.87";"1,956.50";;1;
2022-06-10;"2,030.76";"1,988.69";"1,990.80";;1;
2022-06-09;"2,071.32";"2,042.19";"2,044.06";;1;
2022-06-08;"2,086.20";"2,059.44";"2,069.93";;1;
2022-06-07;"2,082.71";"2,054.44";"2,074.21";;1;
2022-06-03;"2,092.26";"2,067.72";"2,069.41";;1;
2022-06-02;"2,080.52";"2,047.09";"2,075.68";;1;
2022-06-01;"2,062.95";"2,038.41";"2,041.26";;1;
2022-05-31;"2,074.31";"2,042.64";"2,042.64";;1;
2022-05-30;"2,086.10";"2,069.61";"2,075.28";;1;
